	mt	wt	WW1	WD1
GRMZM2G109741	0	0	0	0
GRMZM2G426046	0.23383	0.664893	0.664893	0.23383
GRMZM2G013220	0	0	0	0
GRMZM2G471670	0.245807	1.33762	1.33762	0.245807
GRMZM2G156712	0	0	0	0
GRMZM2G151656	0.0607293	0.257249	0.257249	0.0607293
AC196065.3_FG001	0	0	0	0
GRMZM2G323475	0.291364	0.258371	0.258371	0.291364
GRMZM2G145775	12.8513	9.75336	9.75336	12.8513
GRMZM2G459561	0	0	0	0
GRMZM2G158083	5.1114	8.95519	8.95519	5.1114
GRMZM2G381822	5.10188	9.33884	9.33884	5.10188
AC185522.2_FG002	0	0.140222	0.140222	0
GRMZM2G344416	0.0176609	0.0395245	0.0395245	0.0176609
GRMZM2G117544	19.4599	45.7646	45.7646	19.4599
AC234185.1_FG007	31.0366	18.1872	18.1872	31.0366
GRMZM6G818567	13.2268	11.7505	11.7505	13.2268
GRMZM2G135045	10.713	15.6067	15.6067	10.713
GRMZM2G019571	3.02608	1.3336	1.3336	3.02608
GRMZM2G146885	19.8975	8.90191	8.90191	19.8975
GRMZM2G072488	0	0	0	0
GRMZM2G011784	0	0	0	0
GRMZM2G341166	0	0	0	0
GRMZM2G031420	28.8798	30.3794	30.3794	28.8798
GRMZM2G522693	0	0	0	0
GRMZM2G046885	0.198026	0.204749	0.204749	0.198026
GRMZM2G336326	0.0781283	0.0980721	0.0980721	0.0781283
AC208539.3_FG003	0	0	0	0
AC196412.3_FG001	0	0	0	0
GRMZM2G100620	27.5556	36.5773	36.5773	27.5556
AC194104.3_FG010	2.18804	7.3168	7.3168	2.18804
GRMZM2G025833	1.05205	0	0	1.05205
GRMZM2G177072	4.81815	7.32908	7.32908	4.81815
GRMZM2G109848	0	0.0549895	0.0549895	0
GRMZM2G118003	154.418	156.422	156.422	154.418
AC230013.2_FG007	562.684	541.071	541.071	562.684
GRMZM2G700446	1.70458	1.24654	1.24654	1.70458
GRMZM2G076539	57.1118	69.8542	69.8542	57.1118
GRMZM2G047800	1.44497	4.78295	4.78295	1.44497
GRMZM2G026371	6.64564	6.60341	6.60341	6.64564
AC233850.1_FG003	0.129635	0	0	0.129635
GRMZM2G022212	3.27411	1.01209	1.01209	3.27411
GRMZM2G036448	0.182993	0.0407989	0.0407989	0.182993
GRMZM2G038401	18.9957	36.148	36.148	18.9957
GRMZM5G863385	45.9741	23.2234	23.2234	45.9741
GRMZM2G590450	2.098	0	0	2.098
AC204659.3_FG005	0.0503488	0.165582	0.165582	0.0503488
GRMZM2G126055	0	0.870873	0.870873	0
GRMZM2G156952	0	0	0	0
GRMZM2G027311	19.5592	45.785	45.785	19.5592
GRMZM2G397044	11.7041	8.6478	8.6478	11.7041
AC197545.3_FG002	8.51217	10.5604	10.5604	8.51217
GRMZM2G155312	28.5436	23.3577	23.3577	28.5436
GRMZM2G025480	6.04918	17.2034	17.2034	6.04918
GRMZM2G144153	29.7919	16.8127	16.8127	29.7919
AC234154.1_FG007	13.9457	10.346	10.346	13.9457
GRMZM2G155849	78.4616	36.4369	36.4369	78.4616
GRMZM2G357919	0	0	0	0
GRMZM2G075628	26.4075	10.7916	10.7916	26.4075
GRMZM2G071374	0.416888	0.635388	0.635388	0.416888
GRMZM2G058057	45.3254	158.355	158.355	45.3254
GRMZM2G127139	10.258	3.78883	3.78883	10.258
AC202179.3_FG004	0	0	0	0
GRMZM2G001668	11.3148	27.5926	27.5926	11.3148
GRMZM2G137498	1.29974	0.743546	0.743546	1.29974
GRMZM2G386170	0	0	0	0
GRMZM2G094892	0	0.950387	0.950387	0
GRMZM2G048435	39.8274	14.4302	14.4302	39.8274
GRMZM2G071396	0	0	0	0
GRMZM2G147920	2.43758	2.8974	2.8974	2.43758
GRMZM2G127168	16.9675	18.6875	18.6875	16.9675
GRMZM2G056143	14.0889	9.6203	9.6203	14.0889
GRMZM2G044354	10.7139	22.0499	22.0499	10.7139
GRMZM2G110997	0	0	0	0
GRMZM2G010925	0.0614297	0.0174089	0.0174089	0.0614297
GRMZM2G008528	0.122384	0.972043	0.972043	0.122384
GRMZM2G351582	97.5214	64.6133	64.6133	97.5214
GRMZM2G145666	27.851	18.5807	18.5807	27.851
GRMZM2G335564	0.0219307	0.0233119	0.0233119	0.0219307
GRMZM2G410318	19.2903	19.6062	19.6062	19.2903
GRMZM2G057674	18.606	11.4427	11.4427	18.606
GRMZM2G138330	1.75087	2.56462	2.56462	1.75087
GRMZM2G013481	0	0	0	0
GRMZM2G006745	38.9701	22.3077	22.3077	38.9701
GRMZM2G123886	64.293	12.5967	12.5967	64.293
GRMZM2G012455	0.743494	0	0	0.743494
GRMZM2G455676	0	0	0	0
GRMZM2G164963	12.1305	15.0703	15.0703	12.1305
GRMZM2G114954	80.5809	116.354	116.354	80.5809
